"name","sellPrice","lastQuantity","unit","totalPrice","sold"
"Sikat Gigi Premier Bobo Junior","93,000",0,"Lusin",0,"tidak ada"
"Sikat Gigi Premier Bobo Travel","99,000",7,"Lusin",651000,"2 Lusin"
"Sikat Gigi Premier Classic Medium","48,000",0,"Lusin",0,"tidak ada"
"Sikat Gigi Premier Classic Soft","48,000",4,"Lusin",0,"tidak ada"
"Sikat Gigi Premier Comfort Medium","42,000",13,"Lusin",546000,"5 Lusin"
"Sikat Gigi Premier Comfort Soft","42,000",9,"Lusin",378000,"4 Lusin"
"Sikat Gigi Premier Deluxe","55,000",4,"Lusin",220000,"3 Lusin"
"Sikat Gigi Premier Superior","55,000",10,"Lusin",550000,"4 Lusin"
"Sikat Gigi Premier Travel Pack","110,000",12,"Lusin",1320000,"5 Lusin"
"Sikat Gigi Premier Twin Plus","120,000",7,"Lusin",840000,"4 Lusin"
"Sikat Pakaian Kayu","39,000",14,"Lusin",546000,"5 Lusin"
"Sikat Pakaian Plastik","42,000",11,"Lusin",462000,"1 Lusin"
"Sikat Sepatu Kayu","45,000",2,"Lusin",90000,"tidak ada"
"Silet Goal","52,500",21,"Lusin",1102500,"6 Lusin"
"Sisir Kutu Motif - Cokelat","51,000",5,"Lusin",255000,"5 Lusin"
"Sisir Gagang Loreng","66,000",1,"Lusin",66000,"1 Lusin"
"Sisir Gagang Motif","66,000",3,"Lusin",198000,"1 Lusin"
"Sisir Gagang Polos","60,000",1,"Lusin",60000,"tidak ada"
"Sisir Sasak 7413","3,000",48,"Pcs",45000,"tidak ada"
"Sisir Rata 7414","3,000",0,"Pcs",0,"tidak ada"
"Sisir Rata Warna","3,000",180,"Pcs",540000,"3 Lusin = 36 Pcs"
"Sisir Saku 2005","2,500",0,"Pcs",0,"tidak ada"
"Sisir Saku 2006","2,500",37,"Lusin",92500,"1 Lusin"
"Sisir Saku Loreng","30,000",1,"Lusin",30000,"tidak ada"
"Sisir Segiempat Loreng","60,000",1,"Lusin",0,"tidak ada"
"Sisir Segiempat Motif","66,000",1,"Lusin",66000,"1 Lusin"
"Sisir Semir Hitam ","45,000",0,"Lusin",0,"tidak ada"
"Spon Cuci Piring - Segi","27,000",35,"Lusin",945000,11
"Spon Cuci Piring - Warna","2,500",114,"Pcs",285000,"66 pcs => 5,5 lusin"
"Spon Bedak Bulat","25,000",12,"Lusin",300000,3
"Spon Bedak Segi","25,000",12,"Lusin",300000,"3 Lusin"
"Stop Kontak 981 - Kayu","108,000",0,"Pcs",0,"tidak ada"
"Stop Kontak 982 - Kayu","108,000",0,"Pcs",0,"tidak ada"
"Stop Kontak 984 - Kayu","108,000",0,"Pcs",0,"tidak ada"
"Stop Kontak 991 - Kayu","108,000",0,"Pcs",0,"tidak ada"
"Stop Kontak 801 - Tembok","96,000",6,"Pcs",576000,"6 Pcs"
"Stop Kontak 802 - Tembok","96,000",0,"Pcs",0,"tidak ada"
"Stop Kontak 804 - Tembok","96,000",0,"Pcs",0,"tidak ada"
"Stop Kontak 891 - Tembok","96,000",0,"Pcs",0,"tidak ada"
"Steker Over Yaichi","4,000",24,"Pcs",96000,"tidak ada"
"Steker Gepeng TRIS","4,000",120,"Pcs",480000,12
"Steker Bulat","6,000",76,"Pcs",456000,"18 Pcs"
"Sumbu Kompor Besar","35,000",14,"Roll",490000,"12 roll"
"Sumbu Kompor Kecil","22,500",42,"Roll",945000,"12 roll"
"Terminal Polos Sunfree 3 Lubang 3 meter","18,000",24,"Pcs",432000,12
"Terminal Polos Sunfree 4 Lubang 3 meter","19,000",15,"Pcs",285000,3
"Terminal Polos Sunfree 5 lubang 3 meter","20,000",13,"Pcs",260000,"tidak ada"
"Terminal Polos Sunfree 3 Lubang 5 meter","21,500",18,"Pcs",387000,6
"Terminal Polos Sunfree 4 Lubang 5 meter","22,500",18,"Pcs",405000,6
"Terminal Polos Sunfree 5 Lubang 5 meter","23,500",12,"Pcs",282000,"tidak ada"
"Terminal Polos Sunfree 3 Lubang 1,5 meter","21,000",0,"Pcs",0,"tidak ada"
"Terminal Polos Sunfree 4 Lubang 1,5 meter","22,000",3,"Pcs",66000,"3 Pcs"
"Terminal Polos Sunfree 5 Lubang 1,5 meter","23,000",0,"Pcs",0,"tidak ada"
"Terminal Polos 3 Lubang Tanpa Kabel","17,500",3,"Pcs",0,"tidak ada"
"Terminal Polos 4 Lubang Tanpa Kabel","18,500",0,"Pcs",0,"tidak ada"
"Terminal Polos 5 Lubang Tanpa Kabel","19,500",0,"Pcs",0,"tidak ada"
"Terminal Tanpa Kabel TRM 3 Lubang + Switch","22,000",3,"Pcs",66000,"tidak ada"
"Terminal Warna Multicord 3 Lubang 3 meter","22,000",12,"Pcs",264000,"tidak ada"
"Terminal Warna Multicord 4 Lubang 3 meter","23,000",3,"Pcs",69000,"tidak ada"
"Terminal Warna Multicord 5 lubang 3 meter","24,000",3,"Pcs",72000,"tidak ada"
"Terminal Warna 3 Lubang 1,5 Meter","16,000",9,"Pcs",144000,3
"Terminal Warna 4 Lubang 1,5 Meter","22,500",9,"Pcs",202500,3
"Terminal Warna 5 Lubang 1,5 Meter","19,000",6,"Pcs",114000,"tidak ada"
"Terminal Warna 6 Lubang 1,5 Meter","18,000",6,"Pcs",108000,"tidak ada"
"Terminal Warna 3 Lubang 5 Meter","28,000",6,"Pcs",168000,"tidak ada"
"Terminal Warna 4 Lubang 5 Meter","29,500",15,"Pcs",442500,3
"Terminal Warna 5 Lubang 5 Meter","30,500",0,"Pcs",0,"tidak ada"
"Terminal Warna 3 Lubang Tanpa Kabel","14,500",0,"Pcs",0,"tidak ada"
"Terminal Warna 4 Lubang Tanpa Kabel","15,500",0,"Pcs",0,"tidak ada"
"Terminal Warna 5 Lubang Tanpa Kabel","16,500",0,"Pcs",0,"tidak ada"
"Terminal Warna 6 Lubang Tanpa Kabel","17,500",0,"Pcs",0,"tidak ada"
"Thai Pepaya Lightening Soap 50 gr","8,000",12,"Pcs",96000,"tidak ada"
